disposition,site,contractor,folder,lat,lon,in_128,in_111,list111_site,list111_district,list111_status,distance_m,in_mwater,mwater_code,mwater_dist_m,evidence
new,ANTANANTSOA,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.262887,45.313112,yes,no,,,,19403.9,no,,10148.5,no 111-list site within 250 m; nearest 'SOASERANA SUD CENTRE' at 19404 m
new,BEANGILY ANIVORANO,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.69155,45.374408,yes,no,,,,9064.2,no,,13911.6,no 111-list site within 250 m; nearest 'ANKOBAY' at 9064 m
new,BETSITSY NORD,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.708444,45.378528,yes,no,,,,7871.3,no,,14282.3,no 111-list site within 250 m; nearest 'ANKOBAY' at 7871 m
new,EBOBOKE,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-25.17077,44.537848,yes,no,,,,16389.8,no,,73728.4,no 111-list site within 250 m; nearest 'MENDORAVE CENTRE' at 16390 m
new,GOGOY CENTRE,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.964136,45.34014,yes,no,,,,2600.4,no,,18361.0,no 111-list site within 250 m; nearest 'MAROBASIA CENTRE' at 2600 m
new,MAHAFALY II,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-25.145579,44.596391,yes,no,,,,11619.5,no,,67572.9,no 111-list site within 250 m; nearest 'MALEBITSY CENTRE' at 11620 m
new,MAHASOA,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.270265,45.45118,yes,no,,,,18151.0,no,,8199.1,no 111-list site within 250 m; nearest 'ANTSELY TOBY CENTRE' at 18151 m
new,MAHATSARA CENTRE,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-25.097028,44.648915,yes,no,,,,4086.0,no,,60015.9,no 111-list site within 250 m; nearest 'MALEBITSY CENTRE' at 4086 m
new,MAHAZOARIVO,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.21813,45.351568,yes,no,,,,14430.8,no,,12009.8,no 111-list site within 250 m; nearest 'SOASERANA SUD CENTRE' at 14431 m
new,MAIMBO LAMBO,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.653222,45.226778,yes,no,,,,9949.0,no,,3861.6,no 111-list site within 250 m; nearest 'Vohitsosy' at 9949 m
new,MAROHERY,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.796186,45.186337,yes,no,,,,12200.4,no,,4736.9,no 111-list site within 250 m; nearest 'Vohibola' at 12200 m
new,MENDORAVE,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-25.252803,44.547968,yes,no,,,,12594.6,no,,79653.9,no 111-list site within 250 m; nearest 'MENDORAVE CENTRE' at 12595 m
new,SAMBAIKY,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.164139,45.207444,yes,no,,,,15265.0,no,,25445.4,no 111-list site within 250 m; nearest 'SOASERANA SUD CENTRE' at 15265 m
