disposition,site,contractor,folder,lat,lon,in_128,in_111,list111_site,list111_district,list111_status,distance_m,in_mwater,mwater_code,mwater_dist_m,evidence
matched,ANTSELY TOBY,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.124343,45.531387,yes,yes,ANTSELY TOBY CENTRE,BEKILY,Construction,0.2,no,,19981.6,within 0 m of 111-list site 'ANTSELY TOBY CENTRE'
matched,MALEBITSY,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-25.067593,44.673202,yes,yes,MALEBITSY CENTRE,BELOHA,Construction,0.0,no,,55967.4,within 0 m of 111-list site 'MALEBITSY CENTRE'
matched,MAREVOKY SOASERANA,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.089375,45.333608,yes,yes,SOASERANA SUD CENTRE,BEKILY,Construction,1.6,no,,26290.3,within 2 m of 111-list site 'SOASERANA SUD CENTRE'
matched,AMBARIO,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.397086,44.510631,yes,yes,AMBARIO,Betioky Atsimo,DEX/PGES,89.6,no,,99774.4,within 90 m of 111-list site 'AMBARIO'
matched,AMBATOMAINTY,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.918136,44.653868,yes,yes,Ambatomainty,Betioky Atsimo,DEX/PGES,0.0,no,,87160.4,within 0 m of 111-list site 'Ambatomainty'
matched,AMBATOMAINTY CENTRE,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.933003,44.653396,yes,yes,Ambatomainty Centre,Betioky Atsimo,DEX/PGES,0.0,no,,86362.5,within 0 m of 111-list site 'Ambatomainty Centre'
matched,ANDOHAKAOLO,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.97078,44.94545,yes,yes,Andohakaolo,Betioky Atsimo,DEX/PGES,0.0,no,,59612.0,within 0 m of 111-list site 'Andohakaolo'
matched,ANKALIMBORO,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.419758,44.485955,yes,yes,Ankalimboro,Betioky Atsimo,DEX/PGES,0.9,no,,102507.1,within 1 m of 111-list site 'Ankalimboro'
matched,BEAHITSE,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-24.164687,44.44349,yes,yes,Beahitse,Betioky Atsimo,DEX/PGES,0.0,no,,87176.4,within 0 m of 111-list site 'Beahitse'
matched,BEHERIKE,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.251981,44.465478,yes,yes,BEHERIKE,Betioky Atsimo,DEX/PGES,82.0,no,,84242.7,within 82 m of 111-list site 'BEHERIKE'
matched,EFOTSY,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.473653,44.744782,yes,yes,Efotsy,Betioky Atsimo,DEX/PGES,1.4,no,,84427.8,within 1 m of 111-list site 'Efotsy'
matched,MANDISO,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.500825,44.533003,yes,yes,MANDISO,Betioky Atsimo,DEX/PGES,0.0,no,,105945.2,within 0 m of 111-list site 'MANDISO'
matched,TSILAVONDRIVOTSE,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.899413,44.396736,yes,yes,Tsilavondrivotre,Betioky Atsimo,DEX/PGES,0.7,no,,111246.7,within 1 m of 111-list site 'Tsilavondrivotre'
matched,VOHIMPOTSY CENTRE,FAHASOAVANA,FAHASOAVANA (MUS CLASSIQUE 11= 33 KIOSQUES),-23.773617,44.903013,yes,yes,VOHIMPOTSY CENTRE,Betioky Atsimo,DEX/PGES,96.0,no,,68242.1,within 96 m of 111-list site 'VOHIMPOTSY CENTRE'
matched,AMBALAMOA CENTRE,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.525163,43.630747,yes,yes,Ambalamoa Centre,Morombe,DEX/PGES,0.0,no,,123847.4,within 0 m of 111-list site 'Ambalamoa Centre'
matched,AMPIHAMY AVARATRA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.838235,43.848687,yes,yes,Ampihamy Avaratra,Morombe,DEX/PGES,0.0,no,,85299.0,within 0 m of 111-list site 'Ampihamy Avaratra'
matched,ANALATELO SUD,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.307753,43.725443,yes,yes,Analatelo Sud,Morombe,DEX/PGES,0.0,no,,82767.4,within 0 m of 111-list site 'Analatelo Sud'
matched,ANDRANONDEOKE ***,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.037253,43.377362,yes,yes,Andranondeoke,Morombe,DEX/PGES,2.2,no,,122057.2,within 2 m of 111-list site 'Andranondeoke'
matched,ANKILIFOLO MASIKORO,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.085727,43.87194,yes,yes,Ankilifolo masikoro,Morombe,DEX/PGES,0.3,no,,71558.5,within 0 m of 111-list site 'Ankilifolo masikoro'
matched,ANTAIMBALA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.133066,43.820677,yes,yes,Antaimbala,Morombe,DEX/PGES,0.0,no,,75155.8,within 0 m of 111-list site 'Antaimbala'
matched,ANTATAKY TOBY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE CONSTRUCTION 07),-23.797707,45.569818,yes,yes,BETAPOAKY SUD,BETROKA,Construction,0.0,no,,385.9,within 0 m of 111-list site 'BETAPOAKY SUD'
matched,ANTRANOFOTY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.56517,43.585499,yes,yes,Antranofoty,Morombe,DEX/PGES,0.0,no,,124820.7,within 0 m of 111-list site 'Antranofoty'
matched,BEADABO,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.486882,43.556689,yes,yes,Beadabo,Morombe,DEX/PGES,0.0,no,,132482.5,within 0 m of 111-list site 'Beadabo'
matched,BEKIMPAY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.158371,43.779564,yes,yes,Bekimpay,Morombe,DEX/PGES,1.2,no,,78680.9,within 1 m of 111-list site 'Bekimpay'
matched,BEREKETA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.14529,43.788933,yes,yes,Bereketa,Morombe,DEX/PGES,0.1,no,,78032.9,within 0 m of 111-list site 'Bereketa'
matched,BETAIMBALA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.124071,43.782912,yes,yes,Betaimbala,Morombe,DEX/PGES,0.0,no,,79172.0,within 0 m of 111-list site 'Betaimbala'
matched,MANOY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.027857,43.796894,yes,yes,Manoy,Morombe,DEX/PGES,0.0,no,,81035.7,within 0 m of 111-list site 'Manoy'
matched,MAROFOROHA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.120683,43.731131,yes,yes,Maroforoha,Morombe,DEX/PGES,0.0,no,,84446.0,within 0 m of 111-list site 'Maroforoha'
matched,MAROLINTA CENTRE,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.08081,43.628107,yes,yes,Marolinta centre,Morombe,DEX/PGES,0.0,no,,95811.7,within 0 m of 111-list site 'Marolinta centre'
matched,SIHANAKA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.128102,43.83827,yes,yes,Sihanaka,Morombe,DEX/PGES,0.0,no,,73532.8,within 0 m of 111-list site 'Sihanaka'
matched,SOAMANAHY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.563406,43.604363,yes,yes,Soamanahy,Morombe,DEX/PGES,0.0,no,,123372.0,within 0 m of 111-list site 'Soamanahy'
matched,SOAMIHARY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.12388,43.860151,yes,yes,Soamihary,Morombe,DEX/PGES,2.7,no,,71475.2,within 3 m of 111-list site 'Soamihary'
matched,SOAMIRANGA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.475275,43.547329,yes,yes,Soamiranga,Morombe,DEX/PGES,2.8,no,,134045.2,within 3 m of 111-list site 'Soamiranga'
matched,SOATANA TONGAY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE CONSTRUCTION 07),-23.505388,45.57148,yes,yes,SOATANA,BETROKA,Construction,0.0,yes,1108785743,109.5,within 0 m of 111-list site 'SOATANA'
matched,TANANDAVA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.723324,43.753391,yes,yes,Tanandava,Morombe,DEX/PGES,0.0,no,,100488.0,within 0 m of 111-list site 'Tanandava'
