water_point,site,period_year,photo_date,image_id,days_not_operational,days_illegible,confidence,validated
784302954,Maroantsetra,2026,2026-07-09,6638f1765eeb4f0bbe41fa1112446583,18,16,0.214,NO
786865303,Maroantsetra,2026,2026-07-09,71dca4f3cca04a31a65db7900886e478,27,6,0.285,NO
786932780,Maroantsetra,2026,2026-02-12,4060e7c87c7946e1b9f38cc519aa008b,11,17,0.328,NO
791122592,Maroantsetra,2026,2026-07-03,7a6174ca4c814541ae5bb9326a620568,14,0,0.301,NO
791617832,Maroantsetra,2026,2026-05-30,772221a16e6a4d29bad216055ba10c64,18,9,0.260,NO
792022655,Maroantsetra,2026,2026-05-30,8c393e9e9e0541718bba527e783ea5ea,13,5,0.308,NO
792494830,Maroantsetra,2026,2026-05-30,36869a586de6492a988ecc1b13b616c1,7,6,0.203,NO
792699587,Maroantsetra,2026,2026-05-20,60f9ec8162c44c80816fbf7e48655318,14,5,0.186,NO
794012203,Maroantsetra,2025,2025-12-17,0138c791807f4ed6a51cbe689c4c8e72,14,11,0.246,NO
794587460,Maroantsetra,2026,2026-02-11,f99008050e694df8a46e5edebea216c9,21,7,0.346,NO
795836457,Maroantsetra,2026,2026-05-28,3415cdff11f54e5598a1e6b2e89cb64e,7,10,0.253,NO
797195301,Maroantsetra,2026,2026-05-23,88f77d202b4b4d1fa19a666f351a6e06,2,12,0.217,NO
797885233,Maroantsetra,2026,2026-05-29,ecb87890ccd8445d8f0f2727270f1133,13,6,0.302,NO
800634100,Maroantsetra,2026,2026-06-03,82bf2f60cbcd4ae99b99cbe13b3c7d51,19,3,0.280,NO
803229680,Maroantsetra,2026,2026-05-29,32fad49ce8ef496d9dcae6dc4abd474d,3,0,0.084,NO
805544226,Maroantsetra,2026,2026-05-29,1a0fc22b7b3446d7a540bf01e4376b3e,13,21,0.244,NO
810377501,Maroantsetra,2026,2026-05-29,704f27e852074cf0b69ebc72eeca51e7,7,4,0.160,NO
810943803,Maroantsetra,2026,2026-05-29,9e4d573164de4806b195cb5a10ed692a,18,7,0.359,NO
812862094,Maroantsetra,2026,2026-06-03,a30757108f4c4b57a40334f4ebea39ae,23,0,0.323,NO
813642325,Maroantsetra,2026,2026-06-18,219ffc1020a24077a8a546383020089b,18,5,0.174,NO
813933184,Maroantsetra,2026,2026-06-24,043acc9557b4429e827ef42d064de9ed,3,2,0.248,NO
814646306,Maroantsetra,2025,2025-10-30,a0d2dcc620814039b8b3bf9a26e482b0,16,17,0.494,NO
815132789,Maroantsetra,2026,2026-06-24,50d54494d5b24f0997e3b4748ca7b892,12,2,0.271,NO
816234895,Maroantsetra,2026,2026-06-18,70e79300883b43e188b181b9abdc570e,9,6,0.287,NO
817548803,Maroantsetra,2026,2026-06-16,f580f314a2074deabf691f3699bc5b62,13,5,0.317,NO
819378051,Maroantsetra,2026,2026-05-21,c5f278417e5b4ed5a75a501a3aa5cd13,10,2,0.233,NO
820198370,Maroantsetra,2026,2026-06-16,767469f0ce7646a28d8cb69749fb0665,53,14,0.122,NO
820780971,Maroantsetra,2026,2026-06-16,d3847c6ae4494fb4b57786d50d8148df,16,4,0.214,NO
822906175,Maroantsetra,2026,2026-06-04,740a9017aada4b8eadd917451e2e2193,22,8,0.243,NO
823946480,Maroantsetra,2026,2026-06-04,3da783122ca84cefa71678ab0dc9ba3b,9,0,0.241,NO
824580917,Maroantsetra,2026,2026-06-04,68a70e32625141f593f36e211fabbcf7,9,3,0.303,NO
825367379,Maroantsetra,2026,2026-06-25,30109d90381a4657b94730c581fb11b6,8,6,0.299,NO
833032630,Maroantsetra,2026,2026-07-30,55afe3a9bb854e95ae5c26831b3e26fd,5,3,0.406,NO
