water_point,site,sheet_year,sheets,first_photo,last_photo,days_covered,days_in_year,fraction_covered
742895182,Fort-Dauphin,2026,1,2026-02-18,2026-02-18,49,365,0.1342
742895199,Fort-Dauphin,2026,2,2026-02-18,2026-02-18,49,365,0.1342
742895216,Fort-Dauphin,2026,2,2026-02-18,2026-02-18,49,365,0.1342
742895230,Fort-Dauphin,2026,2,2026-02-18,2026-05-15,135,365,0.3699
742895278,Fort-Dauphin,2025,3,2026-01-21,2026-05-15,365,365,1.0
742895278,Fort-Dauphin,2026,1,2026-02-10,2026-02-10,41,365,0.1123
742895292,Fort-Dauphin,2025,1,2026-01-21,2026-01-21,365,365,1.0
742895302,Fort-Dauphin,2026,1,2026-05-15,2026-05-15,135,365,0.3699
742895333,Fort-Dauphin,2026,2,2026-01-21,2026-05-15,135,365,0.3699
742895395,Fort-Dauphin,2026,2,2026-02-20,2026-02-20,51,365,0.1397
742895429,Maroantsetra,2025,3,2025-11-15,2025-12-18,352,365,0.9644
742895436,Maroantsetra,2024,1,2025-11-15,2025-11-15,366,366,1.0
742895467,Maroantsetra,2025,1,2025-11-13,2025-11-13,317,365,0.8685
742895474,Maroantsetra,2025,1,2025-12-23,2025-12-23,357,365,0.9781
742895498,Maroantsetra,2025,1,2026-08-20,2026-08-20,365,365,1.0
742895577,Maroantsetra,2025,2,2025-11-13,2026-05-20,365,365,1.0
742895577,Maroantsetra,2026,1,2026-05-20,2026-05-20,140,365,0.3836
742895591,Maroantsetra,2025,1,2026-05-20,2026-05-20,365,365,1.0
742895591,Maroantsetra,2026,1,2026-05-20,2026-05-20,140,365,0.3836
742895625,Maroantsetra,2026,1,2026-03-27,2026-03-27,86,365,0.2356
742895670,Fort-Dauphin,2026,1,2025-09-21,2025-09-21,0,365,0.0
742895687,Fort-Dauphin,2025,1,2025-12-15,2025-12-15,349,365,0.9562
742895704,Fort-Dauphin,2026,2,2025-09-21,2025-12-12,0,365,0.0
742895728,Fort-Dauphin,2026,3,2025-09-21,2026-03-16,75,365,0.2055
742895742,Fort-Dauphin,2025,1,2025-09-20,2025-09-20,263,365,0.7205
742895742,Fort-Dauphin,2026,2,2026-05-15,2026-09-08,251,365,0.6877
